timestamp,soil,raw
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:09,soil #1,0
2026-08-08T15:23:11,soil #1,0
2026-08-08T15:23:11,soil #1,0
2026-08-08T15:23:12,soil #1,0
2026-08-08T15:23:12,soil #1,0
2026-08-08T15:23:13,soil #1,0
2026-08-08T15:23:13,soil #1,0
2026-08-08T15:23:14,soil #1,0
2026-08-08T15:23:14,soil #1,0
2026-08-08T15:23:15,soil #1,0
2026-08-08T15:23:15,soil #1,0
2026-08-08T15:23:16,soil #1,0
2026-08-08T15:23:16,soil #1,0
2026-08-08T15:23:17,soil #1,0
2026-08-08T15:23:17,soil #1,0
2026-08-08T15:23:18,soil #1,0
2026-08-08T15:23:18,soil #1,0
2026-08-08T15:23:19,soil #1,0
2026-08-08T15:23:19,soil #1,0
2026-08-08T15:23:20,soil #1,0
2026-08-08T15:23:20,soil #1,0
2026-08-08T15:23:21,soil #1,0
2026-08-08T15:23:21,soil #1,0
2026-08-08T15:23:22,soil #1,0
2026-08-08T15:23:22,soil #1,0
2026-08-08T15:23:23,soil #1,0
2026-08-08T15:23:23,soil #1,0
2026-08-08T15:23:24,soil #1,0
2026-08-08T15:23:24,soil #1,0
2026-08-08T15:23:25,soil #1,0
2026-08-08T15:23:25,soil #1,0
2026-08-08T15:23:26,soil #1,0
2026-08-08T15:23:26,soil #1,0
2026-08-08T15:23:27,soil #1,0
2026-08-08T15:23:27,soil #1,0
2026-08-08T15:23:28,soil #1,0
2026-08-08T15:23:28,soil #1,0
2026-08-08T15:23:29,soil #1,0
2026-08-08T15:23:29,soil #1,0
2026-08-08T15:23:30,soil #1,0
2026-08-08T15:23:30,soil #1,0
