timestamp,site,raw
2026-08-10T00:26:42,site_1_r0_c0,0
2026-08-10T00:26:42,site_1_r0_c0,0
2026-08-10T00:26:43,site_1_r0_c0,0
2026-08-10T00:26:43,site_1_r0_c0,0
2026-08-10T00:26:44,site_1_r0_c0,0
2026-08-10T00:32:05,site_1_r0_c0,0
2026-08-10T00:32:06,site_1_r0_c0,0
2026-08-10T00:32:06,site_1_r0_c0,0
2026-08-10T00:32:07,site_1_r0_c0,0
2026-08-10T00:32:07,site_1_r0_c0,0
2026-08-10T00:43:36,site_1_r0_c0,379
2026-08-10T00:43:36,site_1_r0_c0,379
2026-08-10T00:43:37,site_1_r0_c0,380
2026-08-10T00:43:37,site_1_r0_c0,379
2026-08-10T00:43:38,site_1_r0_c0,375
2026-08-10T00:44:32,site_1_r0_c0,227
2026-08-10T00:44:32,site_1_r0_c0,279
2026-08-10T00:44:33,site_1_r0_c0,302
2026-08-10T00:44:33,site_1_r0_c0,306
2026-08-10T00:44:34,site_1_r0_c0,311
2026-08-10T00:45:23,site_1_r0_c0,288
2026-08-10T00:45:23,site_1_r0_c0,288
2026-08-10T00:45:24,site_1_r0_c0,288
2026-08-10T00:45:24,site_1_r0_c0,289
2026-08-10T00:45:25,site_1_r0_c0,289
2026-08-10T00:47:17,site_1_r0_c0,374
2026-08-10T00:47:17,site_1_r0_c0,375
2026-08-10T00:47:18,site_1_r0_c0,376
2026-08-10T00:47:18,site_1_r0_c0,376
2026-08-10T00:47:19,site_1_r0_c0,376
